"Date","Price","Open","High","Low","Vol.","Change %"
"02/12/2024","159.500","162.352","162.352","158.000","","-1.76%"
"02/11/2024","162.352","162.352","162.352","162.352","","2.11%"
"02/09/2024","159.000","160.000","160.500","159.500","","-0.63%"
"02/08/2024","160.000","160.500","160.500","159.600","","0.00%"
"02/07/2024","160.000","160.500","160.500","160.400","","0.00%"
"02/06/2024","160.000","160.500","160.500","160.300","","0.00%"
"02/05/2024","160.000","160.500","160.500","160.500","","0.00%"
"02/02/2024","160.000","160.500","160.500","160.000","","0.00%"
"02/01/2024","160.000","160.500","161.000","160.350","","0.00%"
"01/31/2024","160.000","161.500","161.500","160.500","","-0.62%"
"01/30/2024","161.000","162.000","162.000","161.000","","0.00%"
"01/29/2024","161.000","162.500","163.000","161.500","","-0.62%"
"01/26/2024","162.000","163.500","163.500","162.000","","-0.61%"
"01/25/2024","163.000","163.500","163.500","162.650","","0.15%"
"01/24/2024","162.750","163.000","163.500","162.150","","0.15%"
"01/23/2024","162.500","162.500","163.000","161.750","","0.31%"
"01/22/2024","162.000","162.000","162.500","161.400","","0.31%"
"01/19/2024","161.500","161.750","162.000","161.300","","0.16%"
"01/18/2024","161.250","161.000","161.750","160.500","","0.47%"
"01/17/2024","160.500","160.000","161.500","160.000","","0.50%"
"01/16/2024","159.700","159.500","160.750","159.500","","0.13%"
"01/15/2024","159.500","159.500","160.250","157.350","","0.31%"
"01/12/2024","159.000","159.500","159.750","158.750","","0.32%"
"01/11/2024","158.500","158.900","159.500","158.250","","0.51%"
"01/10/2024","157.700","158.000","159.000","158.000","","-0.03%"
"01/09/2024","157.750","157.800","158.500","157.500","","0.16%"
"01/08/2024","157.500","157.550","158.000","157.500","","0.32%"
"01/05/2024","157.000","157.500","157.850","156.950","","0.00%"
"01/04/2024","157.000","157.350","157.700","156.850","","0.32%"
"01/03/2024","156.500","157.000","157.600","156.600","","-0.32%"
"01/02/2024","157.000","157.000","157.500","156.450","","-0.28%"
"01/01/2024","157.440","157.297","157.530","157.297","","0.60%"
"12/29/2023","156.500","157.000","157.000","156.150","","0.00%"
"12/28/2023","156.500","156.500","157.000","155.750","","0.32%"
"12/27/2023","156.000","156.000","156.500","154.850","","0.00%"
"12/26/2023","156.000","154.970","156.000","154.970","","0.66%"
"12/25/2023","154.970","154.871","155.000","154.871","","-0.34%"
"12/22/2023","155.500","154.600","156.500","154.600","","0.13%"
"12/21/2023","155.300","154.750","155.800","154.875","","0.84%"
"12/20/2023","154.000","154.100","154.100","154.100","","0.13%"
"12/19/2023","153.800","153.900","154.100","153.550","","0.00%"
"12/18/2023","153.800","153.400","153.900","153.350","","0.07%"
"12/15/2023","153.700","153.500","153.800","153.300","","0.26%"
"12/14/2023","153.300","153.300","153.600","153.300","","0.00%"
